course_id,course_name,credits,description
C101,Data 101,4,Follow-on course
C001,Course 1,4,Auto-generated course 1
C002,Course 2,5,Auto-generated course 2
C003,Course 3,3,Auto-generated course 3
C004,Course 4,4,Auto-generated course 4
C005,Course 5,5,Auto-generated course 5
C006,Course 6,3,Auto-generated course 6
C007,Course 7,4,Auto-generated course 7
C008,Course 8,5,Auto-generated course 8
C009,Course 9,3,Auto-generated course 9
C010,Course 10,4,Auto-generated course 10
C011,Course 11,5,Auto-generated course 11
C012,Course 12,3,Auto-generated course 12
C013,Course 13,4,Auto-generated course 13
C014,Course 14,5,Auto-generated course 14
C015,Course 15,3,Auto-generated course 15
C016,Course 16,4,Auto-generated course 16
C017,Course 17,5,Auto-generated course 17
C018,Course 18,3,Auto-generated course 18
C019,Course 19,4,Auto-generated course 19
C020,Course 20,5,Auto-generated course 20
C021,Course 21,3,Auto-generated course 21
C022,Course 22,4,Auto-generated course 22
C023,Course 23,5,Auto-generated course 23
C024,Course 24,3,Auto-generated course 24
C025,Course 25,4,Auto-generated course 25
C026,Course 26,5,Auto-generated course 26
C027,Course 27,3,Auto-generated course 27
C028,Course 28,4,Auto-generated course 28
C029,Course 29,5,Auto-generated course 29
C030,Course 30,3,Auto-generated course 30
C031,Course 31,4,Auto-generated course 31
C032,Course 32,5,Auto-generated course 32
C033,Course 33,3,Auto-generated course 33
C034,Course 34,4,Auto-generated course 34
C035,Course 35,5,Auto-generated course 35
C036,Course 36,3,Auto-generated course 36
C037,Course 37,4,Auto-generated course 37
C038,Course 38,5,Auto-generated course 38
C039,Course 39,3,Auto-generated course 39
C040,Course 40,4,Auto-generated course 40
C041,Course 41,5,Auto-generated course 41
C042,Course 42,3,Auto-generated course 42
C043,Course 43,4,Auto-generated course 43
C044,Course 44,5,Auto-generated course 44
C045,Course 45,3,Auto-generated course 45
C046,Course 46,4,Auto-generated course 46
C047,Course 47,5,Auto-generated course 47
C048,Course 48,3,Auto-generated course 48
C049,Course 49,4,Auto-generated course 49
C050,Course 50,5,Auto-generated course 50
PX01,Physics I,3,Basics
